reach_id,n_gauges,upstream_gauge_id,onreach_gauge_id,downstream_gauge_id,max_span_km,river_name,lat,lon,fimbench_id,fimbench_tier,n_fimbench,fimbench_huc8,up_dist_km,dn_dist_km,all_gauge_ids,swot_obs,mean_width_m,iris_slope_m_per_m,iris_slope_source,hand_runnable,has_iris,full_stack
74295200081,2,06483950,,06485500,24.61,Big Sioux River,42.85836,-96.547,Tier_2/PSS_20190919T165541_963700W424518N/PSS_1_0m_20190919T165541_963700W424518N_BM;Tier_2/PSS_20240623T172530_962650W425825N/PSS_3_0m_20240623T172530_962650W425825N_BM,Tier_2,2,10170203;10170203;10170204;10230002,34.86,10.1,06483950;06485500,2,51.0,0.0003843087811035,1_iris_v2.6,True,True,True
74295200091,2,06483950,,06485500,24.61,Big Sioux River,42.90491,-96.53663,Tier_2/PSS_20240623T172530_962650W425825N/PSS_3_0m_20240623T172530_962650W425825N_BM,Tier_2,1,10170203;10170204;10230002,24.73,20.22,06483950;06485500,2,45.0,0.0001658467030644,1_iris_v2.6,True,True,True
74295200101,2,06483950,,06485500,24.61,Big Sioux River,42.97127,-96.50939,Tier_2/PSS_20240623T172530_962650W425825N/PSS_3_0m_20240623T172530_962650W425825N_BM,Tier_2,1,10170203;10170204;10230002,11.19,33.77,06483950;06485500,2,54.0,0.0002625242866357,1_iris_v2.6,True,True,True
74295200111,2,,06483950,06485500,24.61,Big Sioux River,43.04851,-96.49825,Tier_2/PSS_20240623T172530_962650W425825N/PSS_3_0m_20240623T172530_962650W425825N_BM,Tier_2,1,10170203;10170204;10230002,,44.96,06483950;06485500,2,63.0,0.0002535625969868,1_iris_v2.6,True,True,True
75120400081,2,08041000,,08041780,22.18,Neches River,30.20478,-94.1097,HWM/HWM_20170817_20170901_940714W300838N/HWM_10_0m_20170817_20170901_940714W300838N_BM,HWM,1,08080205;08080206;12010005;12020003;12020006;12020007;12030203;12040201;12040202,19.24,19.28,08041000;08041780,2,89.0,4.2736019339135096e-05,1_iris_v3.3,True,True,True
75120400091,2,,08041000,08041780,22.18,Neches River,30.31127,-94.105,HWM/HWM_20170817_20170901_940714W300838N/HWM_10_0m_20170817_20170901_940714W300838N_BM,HWM,1,08080205;08080206;12010005;12020003;12020006;12020007;12030203;12040201;12040202,,38.52,08041000;08041780,2,84.0,0.0001532292001642,1_iris_v3.3,True,True,True
75120400111,2,08040600,,08041000,48.68,Neches River,30.51353,-94.08317,HWM/HWM_20170817_20170901_940714W300838N/HWM_10_0m_20170817_20170901_940714W300838N_BM,HWM,1,08080205;08080206;12010005;12020003;12020006;12020007;12030203;12040201;12040202,47.34,38.51,08040600;08041000,2,94.0,0.0001081889072165,1_iris_v3.3,True,True,True
75120400121,2,08040600,,08041000,48.68,Neches River,30.61984,-94.07399,HWM/HWM_20170817_20170901_940714W300838N/HWM_10_0m_20170817_20170901_940714W300838N_BM,HWM,1,08080205;08080206;12010005;12020003;12020006;12020007;12030203;12040201;12040202,28.13,57.73,08040600;08041000,2,96.0,0.0001226702028763,1_iris_v3.3,True,True,True
75120500091,2,,08030500,08030530,19.96,Sabine River,30.31806,-93.74911,HWM/HWM_20170817_20170901_940714W300838N/HWM_10_0m_20170817_20170901_940714W300838N_BM,HWM,1,08080205;08080206;12010005;12020003;12020006;12020007;12030203;12040201;12040202,,39.65,08030500;08030530,2,54.0,1.357011054138411e-19,2_sword_v16,True,True,True
75161000091,2,08114100,,08116650,25.55,Brazos River,29.48131,-95.55052,Tier_1/AI_20170903_953036W293058N/AI_0_3m_20170903_953036W293058N_BM,Tier_1,1,12040205;12070104,19.87,19.83,08114100;08116650,2,123.0,0.0001068107684957,1_iris_v2.6,True,True,True
